id,type,number,character name,character sprite,nameKey,track0,track1,sprite position,korean,english,trigger,act,desc
Tuto100,line,002,파프라,파프라(기본),npc_name_papra,,,right,적들은 전하를 처치하기 위해 던전에 침입해 올것입니다.,Their attack will be soon enough - looking for your head.,ZoomEndTile,,마왕 타일로 카메라 이동 및 확대
Tuto100,line,003,파프라,파프라(기본),npc_name_papra,,,right,우선 전하의 생존 가능성을 높이기 위해서 던전을 확장해야합니다.,"First of all, we need to expand the dungeon to increase the chance of survival.",ResetCamPos,,카메라 원위치(카메라 시작 위치 및 확대 배율 초기화)
Tuto100,line,004,파프라,파프라(기본),npc_name_papra,,,right,던전이 크고 복잡할 수록 적들이 헤매기 때문입니다.,Large and complex dungen can cause severe confusion towards enemies.,,,
Tuto100,line,005,파프라,파프라(기본),npc_name_papra,,blink,right,그렇다면 첫번째로 시작 타일과 마왕 타일을 이어보겠습니다.,"So, let's start by connecting the Start Tile and the Demon Tile.",,,
Tuto100,line,006,파프라,파프라(기본),npc_name_papra,,,right,<color=red>손 패</color>에 있는 카드를 <color=red>클릭&드래그</color>하여 원하시는 곳에 놓으면 됩니다.,Simply click and drag the cards in your hand to place them where you want them.,,,
Tuto102_0,line,000,파프라,파프라(기본),npc_name_papra,idle,,right,다음은 갈림길로 길을 확장해보겠습니다.,"Next, let's expand the path to a fork.",DeActiveSkip,,
Tuto102_0,line,001,파프라,파프라(기본),npc_name_papra,,,rigt,타일을 배치할 때 <color=red>길</color> 부분은 서로 <color=red>연결</color>되어야합니다.,"When placing tiles, the length parts should be connected to each other.",,,
Tuto102_0,line,002,파프라,파프라(기본),npc_name_papra,,blink,right,"<color=red>Q, E</color>키를 눌러 타일을 회전 시켜 배치해 보십시오.",Try rotating the tiles by pressing the Q and E keys to position them.,,,
Tuto102_1,line,000,파프라,파프라(기본),npc_name_papra,idle,,right,대부분의 개체는 던전에서 이동할 때 헤매게 됩니다.,Most enemies will get lost when moving around in a dungeon.,DeActiveSkip,,
Tuto102_1,line,001,파프라,파프라(기본),npc_name_papra,,,right,갈림길의 수만큼 흩어지게 되지요.,"For each forked road, they will scatter.",,,
Tuto102_1,line,002,파프라,파프라(기본),npc_name_papra,,,right,던전이 복잡할 수록 침입자는 전하가 있는 곳까지 도달하는데 시간이 걸릴 것이며,"Complex dungeon can buy us time to prepare,",,,
Tuto102_1,line,003,파프라,파프라(기본),npc_name_papra,,,right,아군은 흩어지는 적들을 각개격파 할 수 있습니다.,And your allies could deal with scattered enemies.,,,
Tuto103,line,000,파프라,파프라(기본),npc_name_papra,idle,,right,"이런, 불청객들이 도착했군요.","Well, our uninvited guests have arrived.",DeActiveSkip,,
Tuto103,line,001,파프라,파프라(기본),npc_name_papra,,blink,right,인간계에는 마왕의 목에 현상금이 달려있다고 합니다.,It is said that every demon have bounty on their head.,,,
Tuto103,line,002,파프라,파프라(기본),npc_name_papra,,,right,때문에 이를 노리고 던전에 들어오는 인간들이 있습니다.,This is why there are humans who enter the dungeon looking for them.,,,
Tuto103,line,003,파프라,파프라(기본),npc_name_papra,,,right,우선 침입자를 막기 위해 함정을 설치해보십시오,"First, try setting up a trap to defeat enemies",,,
Tuto103,line,004,파프라,파프라(기본),npc_name_papra,,blink,right,"우측상단의 <sprite name=""Manage""> 고용 버튼 또는 <color=red>Z</color>를 눌러 고용창을 열 수 있습니다.",You can open the Emloy window by pressing the Emloy button in the upper-right corner or Z.,,,
Tuto105,line,000,파프라,파프라(기본),npc_name_papra,idle,,right,함정은 길 타일에만 설치가 가능하다는 점을 유의해주십시오.,Note that Traps can only be placed on Path tiles.,DeActiveSkip,,
Tuto105,line,001,파프라,파프라(기본),npc_name_papra,,blink,right,또한 함정은 내구도가 0이 될 시 파괴됩니다.,Traps are also destroyed when their durability reaches 0.,,,
Tuto106,line,000,파프라,파프라(기본),npc_name_papra,idle,,right,적은 계속해서 침입할 것입니다.,Enemies will continue to break in.,DeActiveSkip,,
Tuto106,line,001,파프라,파프라(기본),npc_name_papra,,blink,right,함정은 장기적으로 보았을 때 효율이 좋지 않습니다.,Traps are not efficient in the long run.,,,
Tuto106,line,002,파프라,파프라(기본),npc_name_papra,,,right,그렇다면 우리의 아군. 몬스터를 생성해 볼까요.,"Our allies, then. Let's summon a monster.",,,
Tuto106,line,003,파프라,파프라(기본),npc_name_papra,,,right,몬스터를 생성하기 위해선 먼저 연구가 선행되어야 합니다.,"Before you can summon a monster, you need to do some research.",,,
Tuto106,line,004,파프라,파프라(기본),npc_name_papra,,blink,right,점액 슬라임을 생성 할 수 있는 연구를 진행해 보십시오.,Do research that will allow you to summon a slime slime.,,,
Tuto106,line,005,파프라,파프라(기본),npc_name_papra,,,right,"우측상단의 <sprite name=""Research""> 연구 버튼 또는 <color=red>X</color>를 눌러 연구창을 열 수 있습니다.",You can open the research panel by pressing the Research button in the top-right corner or the X.,,,
Tuto108,line,000,파프라,파프라(기본),npc_name_papra,idle,,right,연구가 완료 되었습니다.,Your research is complete.,DeActiveSkip,,
Tuto108,line,001,파프라,파프라(기본),npc_name_papra,,blink,right,이제 몬스터를 생성 할 수 있게 되었습니다.,You are now able to summon monsters.,,,
Tuto108,line,002,파프라,파프라(기본),npc_name_papra,,,right,방 타일을 설치하고 그곳에 몬스터 생산지를 배치해보십시오.,Try installing a room tile and placing a monster spawner there.,,,
Tuto109,line,000,파프라,파프라(기본),npc_name_papra,idle,,right,몬스터 생산지에선 정해진 시간마다 몬스터가 자연스럽게 생성됩니다.,The Monster Spawner summon monsters constantly.,DeActiveSkip,,
Tuto109,line,001,파프라,파프라(기본),npc_name_papra,,blink,right,함정과 다르게 <color=red>생산지</color>는 <color=red>방</color>에만 배치가 가능합니다.,"Unlike traps, spawners can only be placed in rooms.",,,
Tuto109,line,002,파프라,파프라(기본),npc_name_papra,,,right,"그 이유는 던전에 흐르는 <sprite name=""Mana""> 마력 때문입니다.",The mana flowing through the dungeon enables it.,,,
Tuto110,line,000,파프라,파프라(기본),npc_name_papra,idle,,right,"<sprite name=""Mana""> 마력은 마왕에 의해 생성된다고 합니다. ",The source of mana is from demons.,DeActiveSkip,,
Tuto110,line,001,파프라,파프라(기본),npc_name_papra,,,right,그리고 연기와 같은 특성을 가지어 넓은 곳으로 퍼져나갑니다.,It has smoke-like properties and spreads over a wide area.,,,
Tuto110,line,002,파프라,파프라(기본),npc_name_papra,,,right,"던전을 구성하는 길이 많아질수록 흐르는 <sprite name=""Mana""> 마력량이 증가하고","Various paths extend the flow of mana,",,,
Tuto110,line,003,파프라,파프라(기본),npc_name_papra,,,right,"방은 물리적인 공간 덕분에 <sprite name=""Mana""> 마력이 많이 모일 수 있게 됩니다.","and those flow can be collected in rooms, due to it's physical space.",,,
Tuto110,line,004,파프라,파프라(기본),npc_name_papra,,,right,"몬스터는 이 <sprite name=""Mana""> 마력을 양분 삼아 생성되지요.",Monsters are summoned by feeding off of this mana.,,,
Tuto110,line,005,파프라,파프라(기본),npc_name_papra,,,right,"강력한 몬스터는 많은 <sprite name=""Mana""> 마력을 필요로 하기 때문에 넓은 공간을 마련해야 합니다.","Powerful monsters require a lot of mana, so you'll need a lot of space.",,,
Tuto110,line,006,파프라,파프라(기본),npc_name_papra,,,right,방을 넓게 만든 후 강한 몬스터 생산지를 배치해보겠습니다.,Let's make the big room and place a stronger monster spawner.,,,
Tuto111,line,000,파프라,파프라(기본),npc_name_papra,idle,,right,훌륭합니다. 전하,Excellent. Your Lord,DeActiveSkip,,
Tuto111,line,001,파프라,파프라(기본),npc_name_papra,,,right,던전에서는 24시간이 빠르게 흐릅니다.,Twenty-four hours pass quickly in a dungeon.,,,
Tuto111,line,002,파프라,파프라(기본),npc_name_papra,,,right,그리고 자정이 되었을 때 던전의 입구가 열리게 됩니다.,"And when the clock strikes midnight, the entrance to the dungeon opens.",,,
Tuto111,line,003,파프라,파프라(기본),npc_name_papra,,,right,입구는 던전 밖에서 대기 중인 침입자가 모두 들어온 뒤 닫힙니다.,The entrance will closed when all enemies have entered.,,,
Tuto111,line,004,파프라,파프라(기본),npc_name_papra,,,right,물론 날이 바뀌면 새로운 침입자들이 대기하기에,"Of course, as the sun rises, new enemies will do so",,,
Tuto111,line,005,파프라,파프라(기본),npc_name_papra,,,right,적들이 계속해서 쳐들어올 것입니다.,"They won't stop, until their job is done.",,,
Tuto111,line,006,파프라,파프라(기본),npc_name_papra,smile2,,right,"자, 이제 침입하는 적들을 막아보십시오.","Now, let us finish them.",,,
Tuto112,line,000,파프라,파프라(기본),npc_name_papra,idle,,right,지금 보고 계신 카드들은 정해진 시기마다 나타납니다.,These cards you're looking appear at  specific time.,DeActiveSkip,,
Tuto112,line,001,파프라,파프라(기본),npc_name_papra,,,right,세가지의 카드 중 하나를 선택하여 효과를 발동 시킬 수 있습니다.,You can select one of three cards and activate the effect.,,,
Tuto112,line,002,파프라,파프라(기본),npc_name_papra,,,right,따로 비용을 청구하지는 않을테니 마음껏 골라주십시오.,"I won't charge you for anything else - so please, feel free to choose.",,,
