id,korean,english
card_desc_manastone,마력을 보충해주는 마력석.'/n'마력 + 1,A magic stone that replenishes your magic.'\n'Magic + 1
card_desc_lonelyrock,외톨이 바위'\n'바위는 혼자일 수록 강하다.'\n'모든 몬스터 HP + 15,Lonely Rocks'\n'A rock is stronger when it is alone.'\n'All monsters have +15 HP
card_desc_swamp2(Temp),강화된 늪(임시),Swmap+(Temp)
card_desc_gold2(Temp),강화된 금광(임시),Gold+(Temp)
card_desc_manastone2(Temp),강화된 마력석(임시),Mana Stone+(Temp)
card_name_rock,바위,Rock
card_name_goldmine,금광,Gold Mine
card_name_swamp,늪,Swamp
card_name_manastone,마력석,Mana Stone
card_name_lonelyrock,외톨이 바위,Lonely Rock
card_name_swamp2(Temp),강화된 늪(임시),Swmap+(Temp)
card_name_gold2(Temp),강화된 금광(임시),Gold+(Temp)
card_name_manastone2(Temp),강화된 마력석(임시),Mana Stone+(Temp)
trap_spin,칼날 함정,Spin Trap
trap_spear,톱날 함정,Saw Trap
trap_saw,창 함정,Spear Trap
trap_hole,구멍 함정,Hole Trap
trap_spin_desc,회전하는 칼날로 공격하는 함정이다.,A trap that attacks with a spinning blade.
trap_spear_desc,회전톱으로 공격하는 함정이다.,A trap that attacks with a spinning saw.
trap_saw_desc,창이 솟아올라 공격하는 함정이다.,A trap that attacks with a rising spear.
trap_hole_desc,구멍에 빠뜨려 공격하는 함정이다.,A trap that attacks by falling into a hole.
slime_R,최하급 슬라임,Lowest level slime
slime_G,하급 슬라임,Low level slime
slime_P,중급 슬라임,Intermediate level slime
slime_D,상급 슬라임,High level slime
goblin_G,최하급 고블린,Lowest level goblin
goblin_B,하급 고블린,Low level goblin
goblin_P,중급 고블린,Intermediate level goblin
goblin_O,상급 고블린,High level goblin
golem_S,최하급 골렘,Lowest level golem
golem_B,하급 골렘,Low level golem
golem_P,중급 골렘,Intermediate level golem
golem_O,상급 골렘,High level golem
mimic_level1,최하급 미믹,Lowest level mimic
mimic_level2,하급 미믹,Low level mimic
mimic_level3,중급 미믹,Intermediate level mimic
mimic_level4,상급 미믹,High level mimic
slime_R_desc,최하급 슬라임,Lowest level slime
slime_G_desc,하급 슬라임,Low level slime
slime_P_desc,중급 슬라임,Intermediate level slime
slime_D_desc,상급 슬라임,High level slime
goblin_G_desc,최하급 고블린,Lowest level goblin
goblin_B_desc,하급 고블린,Low level goblin
goblin_P_desc,중급 고블린,Intermediate level goblin
goblin_O_desc,상급 고블린,High level goblin
golem_S_desc,최하급 골렘,Lowest level golem
golem_B_desc,하급 골렘,Low level golem
golem_P_desc,중급 골렘,Intermediate level golem
golem_O_desc,상급 골렘,High level golem
mimic_level1_desc,최하급 미믹,Lowest level mimic
mimic_level2_desc,하급 미믹,Low level mimic
mimic_level3_desc,중급 미믹,Intermediate level mimic
mimic_level4_desc,상급 미믹,High level mimic
warrior_R,일반 전사,Normal warrior
warrior_B,베테랑 전사,Veteran warrior
warrior_P,영웅 전사,Heroic warrior
warrior_O,전설 전사,Legendary warrior
archer_R,일반 궁수,Normal archer
archer_B,베테랑 궁수,Veteran archer
archer_P,영웅 궁수,Heroic archer
archer_O,전설 궁수,Legendary archer
thief_R,일반 도적,Normal rogue
thief_B,베테랑 도적,Veteran rogue
thief_P,영웅 도적,Heroic rogue
thief_D,전설 도적,Legendary rogue
